,Interest,RepaymentPeriod,LoanAmount,EmployerName,InstallmentAmount,Boundery,LoanTypeName,YoB
1052,1.0,12,20000.0,1,1666.6666666666667,1,16,1958.0
1053,10.0,1,4500.0,1,4500.0,1,7,1958.0
1054,1.15,60,627450.0,1,10457.5,1,10,1989.0
1055,1.0,30,150000.0,1,5000.0,1,18,1987.0
1056,1.0,30,235000.0,1,7833.333333333333,1,18,1987.0
1057,1.25,72,436500.0,1,6062.5,1,11,1985.0
1061,10.0,1,30000.0,1,30000.0,1,7,1961.0
1062,1.0,30,20000.0,1,666.6666666666666,1,18,1988.0
1063,10.0,1,5000.0,1,5000.0,1,7,1985.0
1064,1.25,48,298000.0,1,6208.333333333333,1,20,1985.0
1065,10.0,1,1500.0,1,1500.0,1,9,1985.0
1066,1.0,12,49000.0,1,4083.3333333333335,1,2,1986.0
1067,1.15,84,105075.0,1,1250.892857142857,1,10,1986.0
1068,1.0,30,150000.0,1,5000.0,1,18,1988.0
1070,1.0,12,30000.0,0,2500.0,1,2,1973.0
1071,1.0,30,120000.0,1,4000.0,1,18,1990.0
1072,10.0,1,2000.0,1,2000.0,1,9,1983.0
1073,1.25,48,173000.0,1,3604.1666666666665,1,20,1983.0
1074,10.0,1,3000.0,1,3000.0,1,7,1983.0
1075,1.0,12,15000.0,1,1250.0,1,16,1983.0
1076,1.0,12,10000.0,1,833.3333333333334,1,16,1985.0
1077,10.0,1,766.0,1,766.0,1,9,1985.0
1078,1.25,48,229000.0,1,4770.833333333333,1,20,1985.0
1079,1.0,30,52000.0,1,1733.3333333333333,1,18,1986.0
1082,1.0,12,10000.0,1,833.3333333333334,1,16,1980.0
1083,1.25,72,501975.0,1,6971.875,1,11,1980.0
1084,10.0,1,12000.0,1,12000.0,1,7,1980.0
1085,1.25,48,290000.0,1,6041.666666666667,1,20,1980.0
1086,1.0,30,250000.0,1,8333.333333333334,1,18,1983.0
1087,1.15,30,161000.0,1,5366.666666666667,1,17,1960.0
1088,1.0,12,40000.0,1,3333.3333333333335,1,2,1979.0
1089,1.0,30,40000.0,1,1333.3333333333333,1,18,1979.0
